,identificacao_amostra,ponto,campanha,materia_organica_%,caco3_%
0,EP1 - R1,EP1,2° Resgate 2022,18.09,66.67
1,EP1 - R1,EP1,2° Resgate 2022,18.09,53.64
2,EP1 - R1,EP1,2° Resgate 2022,12.91,66.67
3,EP1 - R1,EP1,2° Resgate 2022,12.91,53.64
4,EP1 - R2,EP1,2° Resgate 2022,19.3,55.03
5,EP1 - R2,EP1,2° Resgate 2022,10.65,55.03
6,EP2 - R1,EP2,2° Resgate 2022,4.8,88.0
7,EP1 - R1,EP1,4° Resgate 2022,11.33,51.69
8,EP1 - R2,EP1,4° Resgate 2022,7.47,50.81
9,EP2 - R1,EP2,4° Resgate 2022,10.33,81.08
10,EP2 - R2,EP2,4° Resgate 2022,6.94,81.25
11,EP1 - R1,EP1,5° Resgate 2022,7.31,40.96
12,EP1 - R2,EP1,5° Resgate 2022,10.19,42.86
13,EP2 - R1,EP2,5° Resgate 2022,4.68,74.78
14,EP2 - R2,EP2,5° Resgate 2022,1.16,66.13
15,EP1 - R1,EP1,6° Resgate 2022,6.56,74.94
16,EP1 - R2,EP1,6° Resgate 2022,7.75,56.74
17,EP2 - R1,EP2,6° Resgate 2022,26.57,52.99
18,EP2 - R2,EP2,6° Resgate 2022,9.63,71.17
19,EP1 - R1,EP1,7° Resgate 2022,6.24,57.05
20,EP1 - R2,EP1,7° Resgate 2022,8.01,60.92
21,EP2 - R2,EP2,7° Resgate 2022,4.72,82.91
22,EP1 - R1,EP1,8° Resgate 2022,11.84,70.43
23,EP1 - R2,EP1,8° Resgate 2022,10.74,67.99
24,EP2 - R1,EP2,8° Resgate 2022,9.03,67.02
25,EP2 - R2,EP2,8° Resgate 2022,8.65,67.02
