,id_amostra,identificacao_amostra,ponto,replica,campanha,data_coleta,tipo_amostra,analise,resultado,unidade
0,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,Grânulo (4 a 2 mm),25.522,g/100g
1,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,Areia muito grossa (2 a 1 mm),6.777,g/100g
2,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,"Areia grossa (1 a 0,5 mm)",19.39,g/100g
3,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,"Areia média (0,5 a 0,25 mm)",15.815,g/100g
4,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,"Areia fina (0,25 a 0,125 mm)",10.513,g/100g
5,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,"Areia muito fina (0,125 a 0,062 mm)",4.569,g/100g
6,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,"Silte (0,062 mm a 0,00994)",13.882,g/100g
7,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,"Argila (0,00994 a 0,0009 mm)",3.533,g/100g
8,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,Grânulo (4 a 2 mm),10.738,g/100g
9,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,Areia muito grossa (2 a 1 mm),5.77,g/100g
10,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,"Areia grossa (1 a 0,5 mm)",19.809,g/100g
11,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,"Areia média (0,5 a 0,25 mm)",17.863,g/100g
12,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,"Areia fina (0,25 a 0,125 mm)",12.982,g/100g
13,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,"Areia muito fina (0,125 a 0,062 mm)",6.5,g/100g
14,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,"Silte (0,062 mm a 0,00994)",20.654,g/100g
15,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,"Argila (0,00994 a 0,0009 mm)",5.685,g/100g
16,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,Grânulo (4 a 2 mm),8.241,g/100g
17,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,Areia muito grossa (2 a 1 mm),7.022,g/100g
